País;Monstruo1;Monstruo2;Monstruo3;Monstuo4;Monstuo5;Tesoro1;Tesoro2;Tesoro3;Tesoro4;Tesoro5;Pregunta1;Pregunta2;Pregunta3;Pregunta4;Pregunta5;Respuesta1A;Respuesta2A;Respuesta3A;Respuesta4A;Respuesta5A;Respuesta1B;Respuesta2B;Respuesta3B;Respuesta4B;Respuesta5B;Respuesta1C;Respuesta2C;Respuesta3C;Respuesta4C;Respuesta5C;Pista1;Pista2;Pista3;Pista4;Pista5;Excusa1;Excusa2;Excusa3;Excusa4;Excusa5
"Dinamarca	";El monstruo marino Kraken;El espíritu acuático Nøkken;El espíritu de las pesadillas Mare;El caballo del infierno Helhest;El dragón serpiente Lindworm;El tesoro de los reyes vikingos;Las Piedras rúnicas de Jelling;El Caldero de plata de Gundestrup;El tesoro de la corona danesa;El Carro solar de Trundholm;¿Qué animal vive en los bosques de Dinamarca?; ¿Qué mar la rodea?; ¿Qué ave blanca migra allí?; ¿Qué árbol da bellotas en Dinamarca?; ¿Qué pez se pesca mucho?;Ciervo; Báltico; Cisne; Roble; Bacalao;León; Mediterráneo; Gallina; Pino; Atún;Lobo; Adriático; Pato; Olivo; Sardina;Su capital es Copenhague; Allí nació el escritor de “La sirenita”; Hay un parque de atracciones antiguo llamado Tivoli; Sus casas tienen techos rojos y calles tranquilas; Se inventó LEGO;No has podido salir del país porque has pisado una pieza de Lego y no puedes caminar hacia el avión.; No has podido salir del país porque un vikingo te ha retado a un concurso de beber y no puedes negarte.; No has podido salir del país porque estás intentando montar un mueble de IKEA (lo suficientemente cerca) para usarlo como maleta.;" No has podido salir del país porque te has vuelto tan ""hygge"" que la idea de un aeropuerto es demasiado estresante."; No has podido salir del país porque una bandada de cisnes de Hans Christian Andersen está bloqueando la pista.
"Dominica	";El espíritu caribeño Jumbee;La bruja de fuego Soucouyant;La diablesa de pies de becerro;El protector del bosque Papa Bois;El espíritu guardián Moko Jumbie;El tesoro del pirata 'El Exterminador';El Lago Hirviente del inframundo;El Parque Nacional de los Tres Picos;Los arrecifes de Champagne;El legado de los últimos indios Caribes;¿Qué animal marino se ve en las costas de Dominica?; ¿Qué volcán hay en la isla?; ¿Qué ave tropical vive allí?; ¿Qué fruta tropical crece en Dominica?; ¿Qué selva cubre gran parte de la isla?;Delfín; Morne Diablotins; Loro; Plátano; Selva tropical;León; Vesubio; Águila; Manzana; Desierto;Tiburón; Etna; Pato; Pera; Sabana;Su capital es Roseau; Es una isla llena de selvas; Tiene manantiales de agua caliente; Hay un lago que hierve; Sus fiestas tienen tambores y danzas;No has podido salir del país porque estás esperando a que el Lago Hirviente se enfríe para poder cruzarlo.; No has podido salir del país porque un loro ha aprendido tu contraseña y exige galletas a cambio de devolverla.; No has podido salir del país porque te han retado a una carrera de canoas Kalinago.; No has podido salir del país porque toda la isla está cerrada por un día de apreciación de la naturaleza.; No has podido salir del país porque estás ayudando a reconstruir un barco pirata para la próxima película de Piratas del Caribe.
"Ecuador	";El alma de niño no bautizado Guagua Auca;La mujer monstruosa La Tunda;El duende de los Andes;El espíritu de la selva Sacha Runa;El guardián de las montañas Urcuchillay;El rescate perdido de Atahualpa;El oro alienígena de la Cueva de los Tayos;Las islas encantadas de Galápagos;El sombrero de paja que vale oro;El centro del Mundo en Quito;¿Qué islas con tortugas gigantes pertenecen a Ecuador?; ¿Qué volcán alto está en Ecuador?; ¿Qué ave vuela en las montañas?; ¿Qué fruta tropical crece en Ecuador?; ¿Qué bosque se encuentra en Ecuador?;Galápagos; Chimborazo; Cóndor; Plátano; Amazonas;Canarias; Etna; Águila; Manzana; Sabana;Malvinas; Vesubio; Pato; Uva; Desierto;Su capital es Quito; Allí pasa la línea del ecuador; Tiene islas famosas llamadas Galápagos; Hay volcanes como el Cotopaxi; Se celebra la fiesta de la Mama Negra;No has podido salir del país porque una tortuga gigante de las Galápagos está cruzando lentamente la pista.; No has podido salir del país porque te han retado a un concurso de comer cuy (conejillo de indias) y eres sorprendentemente bueno.; No has podido salir del país porque estás intentando equilibrar un huevo sobre un clavo en la línea del ecuador.; No has podido salir del país porque un chamán ha limpiado tu espíritu pero se olvidó de devolvértelo.; No has podido salir del país porque tu sombrero de Panamá (que es de Ecuador) es demasiado grande para el compartimento superior.
"Egipto	";La devoradora de almas Ammit;La serpiente del caos Apopis;La bestia híbrida Serpopard;El ave de la resurrección Bennu;La enigmática Esfinge;La máscara de oro del faraón Tutankamón;La Piedra de Rosetta;La Biblioteca perdida de Alejandría;La maldición de la tumba de Nefertari;El enigma de la Gran Esfinge;¿Qué río cruza Egipto?; ¿Qué animal grande vive en el Nilo?; ¿Qué desierto cubre Egipto?; ¿Qué ave vive junto al río?; ¿Qué cultivo crece en sus orillas?;Nilo; Cocodrilo; Sahara; Garza; Trigo;Amazonas; León; Gobi; Pato; Maíz;Yangtsé; Tigre; Kalahari; Águila; Uva;Su capital es El Cairo; Allí están las pirámides de Giza; El río Nilo cruza todo el país; Sus dioses tenían cabeza de animal; La escritura antigua se llama jeroglífica;No has podido salir del país porque la Esfinge te ha hecho un acertijo y no puedes irte hasta que lo resuelvas.; No has podido salir del país porque te han confundido con un faraón reencarnado y ahora estás ocupado gobernando.; No has podido salir del país porque una tormenta de arena ha revelado una nueva pirámide y eres el primero en explorarla.; No has podido salir del país porque tu camello se ha declarado en huelga delante del aeropuerto.; No has podido salir del país porque estás atrapado en una maldición que recibiste al abrir un sarcófago de souvenir.
"El Salvador	";La mujer embaucadora La Siguanaba;El niño eterno El Cipitío;El perro espectral El Cadejo;El alma en pena La Llorona;El duende travieso;La ciudad maya de Tazumal;La 'Atlántida de los Mayas' en el Lago de Ilopango;La Pompeya de América Joya de Cerén;El oro maldito de las minas de San Sebastián;La cueva pintada del Espíritu Santo;¿Qué volcán activo está en El Salvador?; ¿Qué animal pequeño canta por la noche?; ¿Qué fruta tropical crece en el país?; ¿Qué árbol da café?; ¿Qué mar baña El Salvador?;Izalco; Rana; Mango; Cafeto; Pacífico;Etna; Gato; Manzana; Pino; Atlántico;Vesubio; Perro; Pera; Roble; Índico;Su capital es San Salvador; Allí hay volcanes con lagos azules; Celebran fiestas con alfombras de colores en la calle; Tienen playas para surfear; Se baila con tambores y guitarras;No has podido salir del país porque un volcán ha entrado en erupción con pupusas y todo el país se ha detenido a comer.; No has podido salir del país porque estás esperando a que las olas de El Tunco sean menos perfectas para poder irte.; No has podido salir del país porque te han retado a un concurso de recolección de granos de café.; No has podido salir del país porque el Torogoz (ave nacional) ha construido un nido en tu pelo.; No has podido salir del país porque estás intentando navegar por una rotonda sin reglas.
"Emiratos Árabes Unidos	";El genio de las arenas Jinn;El necrófago del desierto Ghul;El genio de fuego Ifrit;El demonio tentador Shaitan;El genio de los mares Marid;Las perlas del Golfo Pérsico;El tesoro del naufragio de Julfar;El oro negro de Abu Dhabi;La aguja de plata del Burj Khalifa;El mercado de oro de Dubái;¿Qué animal cruza el desierto?; ¿Qué planta crece en los oasis?; ¿Qué mar rodea el país?; ¿Qué ave vuela en el cielo del desierto?; ¿Qué mineral se encuentra en el desierto?;Camello; Palmera; Arábigo; Halcón; Arena;León; Pino; Mediterráneo; Gallina; Oro;Tigre; Olivo; Báltico; Cuervo; Plata;Su capital es Abu Dabi; Tiene una ciudad llena de rascacielos llamada Dubái; Allí está la torre más alta del mundo (Burj Khalifa); Sus islas tienen forma de palmera; En el desierto hacen carreras de camellos;No has podido salir del país porque un guepardo se ha metido en tu Bugatti y se niega a salir.; No has podido salir del país porque estás atrapado en la cima del Burj Khalifa porque están puliendo el ascensor.; No has podido salir del país porque te han invitado a un brunch improvisado que ya va por su tercer día.; No has podido salir del país porque la policía robot ha marcado tus zapatos como un riesgo para la seguridad.; No has podido salir del país porque estás esperando a que recarguen tu cajero automático dispensador de oro.
"Eritrea	";El hombre hiena Buda;El espíritu posesivo Zar;El espíritu del pozo Auli;El genio Jinn;El necrófago Ghul;El tesoro perdido del Reino de Aksum;Las ruinas del puerto de Adulis;El arte rupestre de Gash-Barka;El legado olvidado del Imperio Otomano;La ciudad modernista de Asmara;¿Qué mar baña Eritrea?; ¿Qué animal vive en sus costas?; ¿Qué desierto está en Eritrea?; ¿Qué árbol da sombra en las aldeas?; ¿Qué ave se ve en su cielo?;Rojo; Delfín; Danakil; Acacia; Águila;Mediterráneo; León; Sahara; Pino; Pato;Adriático; Tigre; Gobi; Olivo; Gallina;Su capital es Asmara; Sus edificios parecen de estilo italiano; Tiene una costa en el mar Rojo; Allí viven camellos y dromedarios; Sus montañas tienen pueblos de piedra;No has podido salir del país porque la arquitectura Art Déco de Asmara te ha hecho creer que has viajado en el tiempo a los años 30.; No has podido salir del país porque estás esperando a que un tren de vapor despeje las vías en un paso de montaña.; No has podido salir del país porque te han retado a una ceremonia de café tradicional que dura horas.; No has podido salir del país porque estás ayudando a excavar el antiguo puerto de Adulis.; No has podido salir del país porque el Mercado de Medebar ha reutilizado tu pasaporte como una obra de arte.
"Eslovaquia	";El espíritu del agua Vodník;El portador de la luz Svetlonos;La dama del mediodía Polednice;La bruja eslava Striga;El dragón doméstico Zmok;El Tesoro de oro de Košice;El altar de madera más alto del mundo en Levo?a;Las ruinas del Castillo de Spiš;Las iglesias secretas de los Cárpatos;La Venus prehistórica de Moravany;¿Qué montañas están en Eslovaquia?; ¿Qué animal vive en los bosques?; ¿Qué río cruza el país?; ¿Qué árbol es común?; ¿Qué ave vuela sobre sus valles?;Tatras; Lobo; Danubio; Pino; Cigüeña;Alpes; León; Amazonas; Olivo; Águila;Andes; Tigre; Nilo; Roble; Cuervo;Su capital es Bratislava; Tiene un castillo en lo alto del río Danubio; Sus montañas se llaman Tatras; Allí tocan música con violines; Tienen cuevas de hielo;No has podido salir del país porque te han retado a un concurso de comer Halusky y no puedes decepcionar a tu público.; No has podido salir del país porque un dragón de una leyenda local se ha despertado y está durmiendo en la pista.; No has podido salir del país porque estabas explorando un castillo y te perdiste en un pasadizo secreto.; No has podido salir del país porque te han confundido con un espía de la República Checa y estás bajo vigilancia amistosa.; No has podido salir del país porque estás esperando a que el reloj astronómico de Stará Bystrica termine su espectáculo.
"Eslovenia	";El héroe sobrenatural Kresnik;El hada eslava Vila;El íbice de cuernos de oro Zlatorog;Los hombres lobo Vedomci;El duende Škrat;El tesoro secreto del Castillo de Predjama;El misterio del Lago Bled;Las cuevas del dragón de Postojna;La flauta neandertal de Divje Babe;El legado de los príncipes de Hallstatt;¿Qué cueva famosa está en Eslovenia?; ¿Qué animal pequeño vive en la cueva?; ¿Qué lago bonito está en el país?; ¿Qué árbol crece en sus montañas?; ¿Qué ave vive en sus lagos?;Postojna; Proteo; Bled; Abeto; Cisne;Altamira; Rana; Titicaca; Olivo; Gallina;Lascaux; Ratón; Victoria; Pino; Pato;Su capital es Liubliana; Tiene un lago azul con una isla llamada Bled; Hay cuevas enormes como Postojna; Sus bosques están llenos de osos; Su castillo se alza sobre la ciudad;No has podido salir del país porque un dragón está bloqueando el Puente Triple en Liubliana.; No has podido salir del país porque te han invitado a un ballet de caballos Lipizzanos y eres el invitado de honor.; No has podido salir del país porque estás explorando la cueva de Postojna y un proteus (cría de dragón) se ha hecho tu amigo.; No has podido salir del país porque estás atrapado en un atasco detrás de un apicultor que mueve sus colmenas.; No has podido salir del país porque te has enamorado de una copa de vino naranja.
"España	";La bestia humanoide Cuegle;El señor de las nubes Nuberu;El duende doméstico Trasgu;El dragón guardián Cuélebre;El señor del bosque Busgosu;El Santo Grial de Valencia;El tesoro del galeón Nuestra Señora de las Mercedes;La mirada de la Dama de Elche;El último secreto de la Alhambra;El final del Camino de Santiago;¿Qué cordillera famosa hay en España?; ¿Qué animal vive en sus montañas?; ¿Qué fruta cítrica crece en España?; ¿Qué río pasa por Sevilla?; ¿Qué ave rosada se ve en Doñana?;Pirineos; Cabra montés; Naranja; Guadalquivir; Flamenco;Andes; León; Pera; Amazonas; Águila;Alpes; Tigre; Manzana; Nilo; Pato;Su capital es Madrid; Allí se baila flamenco; Tiene una fiesta con tomates llamada Tomatina; Hay un camino muy largo llamado Camino de Santiago; En Valencia queman figuras en las Fallas;No has podido salir del país porque todo el personal del aeropuerto está de siesta y nadie sabe cuándo volverán.; No has podido salir del país porque estás atrapado en una ruta de tapas y no encuentras el último bar.; No has podido salir del país porque un bailaor de flamenco te ha retado a un duelo de pasión y vas perdiendo.; No has podido salir del país porque estás esperando a que terminen la Sagrada Familia para poder verla completa.; No has podido salir del país porque te ha golpeado un tomate perdido en La Tomatina y tu pasaporte es ilegible.
"Estonia	";El tesoro viviente Kratt;El demonio gigante Vanapagan;El espíritu acuático Näkk;El fantasma doméstico Kodukäija;El hombre lobo Libahunt;El tesoro del barco vikingo de Salme;La ciudad medieval de Tallin;El legado de la Liga Hanseática;El Parque Nacional de Lahemaa;El poder del festival de la canción estonia;¿Qué mar baña Estonia?; ¿Qué animal del bosque vive allí?; ¿Qué árbol da frutos rojos?; ¿Qué ave migra por Estonia?; ¿Qué clima tiene el país?;Báltico; Alce; Serbal; Cisne; Frío;Mediterráneo; León; Olivo; Gallina; Desértico;Adriático; Tigre; Pino; Águila; Tropical;Su capital es Tallin; Sus murallas parecen de cuento; Los inviernos tienen auroras boreales; Sus islas tienen molinos de viento; Sus canciones se cantan en coros gigantes;No has podido salir del país porque el sistema de e-residencia ha fallado y tu pasaporte digital está desconectado.; No has podido salir del país porque estás esperando a que se enfríe la sauna.; No has podido salir del país porque un caballero medieval en el casco antiguo de Tallin te ha retado a un duelo.; No has podido salir del país porque estás participando en el campeonato mundial de carga de esposas.;" No has podido salir del país porque te has visto envuelto en una ""revolución cantada"" y tienes que aprenderte el himno."
"Estados Unidos	";La criatura del bosque Bigfoot;El Diablo de Jersey;El hombre polilla Mothman;El brujo cambiaformas Skin-walker;El monstruo caníbal Wendigo;La mina de oro del Holandés Perdido;El oro de Fort Knox;El secreto de la Declaración de Independencia;El tesoro de la flota de 1715;El botín del pirata Jean Lafitte;¿Qué gran cañón famoso está en EE. UU.?; ¿Qué oso vive en sus bosques?; ¿Qué río muy largo cruza el país?; ¿Qué árbol gigante crece en California?; ¿Qué ave es símbolo del país?;Gran Cañón; Oso pardo; Misisipi; Secuoya; Águila calva;Monte Everest; León; Amazonas; Olivo; Cuervo;Kilimanjaro; Tigre; Nilo; Pino; Cigüeña;Su capital es Washington D.C.; Allí está la Estatua de la Libertad; Tiene un cañón gigante llamado Gran Cañón; Disney World está allí; Sus astronautas llegaron a la Luna;No has podido salir del país porque estás en un atasco en Los Ángeles que empezó el martes pasado.; No has podido salir del país porque te ha demandado un águila calva por angustia emocional.; No has podido salir del país porque intentas terminar un filete de 2 kg en Texas para conseguirlo gratis.; No has podido salir del país porque te han confundido con una celebridad en Hollywood y no puedes escapar de los paparazzi.; No has podido salir del país porque el piloto vio su sombra y ahora quedan seis semanas más de invierno.
"Etiopía	";El hombre hiena Buda;El espíritu posesivo Zar;El espíritu del pozo Auli;El genio Jinn;El necrófago Ghul;El Arca de la Alianza en Axum;Las iglesias talladas por ángeles de Lalibela;El tesoro de la Reina de Saba;Los restos de la primera humana Lucy;El castillo del Preste Juan en Gondar;¿Qué animal corre por la sabana etíope?; ¿Qué montaña famosa está en Etiopía?; ¿Qué lago grande hay en Etiopía?; ¿Qué ave gigante vuela en sus cielos?; ¿Qué cereal se cultiva mucho en Etiopía?;Gacela; Ras Dashen; Tana; Buitre; Teff;León; Everest; Titicaca; Águila; Trigo;Tigre; Kilimanjaro; Victoria; Paloma; Arroz;Su capital es Adís Abeba; Allí nació el café; Tienen una iglesia tallada en la roca en Lalibela; Corredores muy rápidos vienen de este país; Sus leones tienen una melena negra especial;No has podido salir del país porque estás esperando a que el Arca de la Alianza sea exhibida en las calles.; No has podido salir del país porque te han retado a una ceremonia del café que ya ha entrado en su cuarta hora.; No has podido salir del país porque estás intentando entender el calendario de 13 meses.; No has podido salir del país porque te ha adoptado una tropa de babuinos gelada.; No has podido salir del país porque estás atrapado en las iglesias excavadas en la roca de Lalibela y no encuentras la salida.
"Filipinas	";El monstruo chupasangre Aswang;El vampiro autosegmentado Manananggal;El gigante arbóreo Kapre;El hombre caballo Tikbalang;El duende de la tierra Duwende;El oro perdido de Yamashita;Las Escaleras al Cielo de Banaue;El tesoro del galeón San Diego;Las perlas gigantes del mar de Sulú;La campana rebelde de Balangiga;¿Qué animal marino vive en sus arrecifes?; ¿Qué volcán famoso está en Filipinas?; ¿Qué fruta tropical crece allí?; ¿Qué ave grande vive en sus selvas?; ¿Qué mar rodea Filipinas?;Pez payaso; Mayón; Coco; Águila filipina; Pacífico;León; Vesubio; Manzana; Gallina; Atlántico;Tigre; Etna; Pera; Pato; Índico;Su capital es Manila; Son muchas islas llenas de playas; Allí se celebran fiestas con carrozas de flores; Hay volcanes como el Mayón con forma perfecta; Se come un huevo especial llamado balut;No has podido salir del país porque tu jeepney se ha quedado atrapado en un concurso de karaoke.; No has podido salir del país porque un tarsero te ha mirado con sus grandes ojos y no puedes abandonarlo.; No has podido salir del país porque estás esperando a que un tifón con un nombre adorable pase de largo.; No has podido salir del país porque te has unido a un combate de boxeo de Manny Pacquiao como su esquinero oficial.; No has podido salir del país porque tu bangka (barco) ha sido secuestrado por un pez loro.
"Finlandia	";El demonio del bosque Hiisi;El espíritu del agua Näkki;El rey del bosque Otso;El monstruo marino Iku-Turso;El troll de los bosques Peikko;El molino mágico Sampo del Kalevala;El Castillo del fin del mundo Olavinlinna;El código del diseño finlandés;El espíritu de la sauna;Las luces danzantes de Laponia;¿Qué animal vive en los bosques de Finlandia?; ¿Qué fenómeno de luces se ve en el cielo?; ¿Qué árbol es común en Finlandia?; ¿Qué lago grande hay en el país?; ¿Qué animal nada en sus ríos?;Reno; Aurora boreal; Abeto; Saimaa; Salmón;León; Arco iris; Olivo; Titicaca; Atún;Tigre; Lluvia; Pino; Victoria; Sardina;Su capital es Helsinki; Allí vive Papá Noel en Laponia; Hay auroras boreales en el cielo; Tienen muchos lagos; Les gusta mucho el sauna;No has podido salir del país porque te has quedado encerrado en una sauna y la competición de resistencia está a punto de empezar.; No has podido salir del país porque los renos de Papá Noel están usando la pista para practicar el despegue.; No has podido salir del país porque has sido retado a un campeonato mundial de air guitar.; No has podido salir del país porque tu teléfono Nokia ha caído al suelo; ha creado un agujero en la pista y hay que repararlo.
"Fiyi	";El dios tiburón Dakuwaqa;El espíritu ancestral Kalou-yalo;El gigante Velitinia;La serpiente marina Lewalevu;La isla fantasma Burotu;Las perlas negras del Pacífico;El tesoro de los jefes caníbales;Los jardines de coral blando;La maza de guerra del rey Tuimacilai;El mapa estelar de la cultura Lapita;¿Qué animal marino vive en los arrecifes de Fiyi?; ¿Qué fruta tropical crece allí?; ¿Qué mar rodea Fiyi?; ¿Qué árbol da cocos en sus playas?; ¿Qué pez payaso vive en Fiyi?;Delfín; Piña; Pacífico; Cocotero; Nemo;León; Manzana; Atlántico; Pino; Sardina;Tigre; Pera; Índico; Olivo; Tiburón;Su capital es Suva; Son islas con playas y palmeras; La gente lleva collares de flores; Bailan con fuego en las fiestas; Sus mares tienen peces de colores y corales;No has podido salir del país porque un jefe de la aldea te ha invitado a una ceremonia de kava y ahora ves en 4D.;" No has podido salir del país porque has dicho ""Bula!"" con tanto entusiasmo que te han hecho ministro de turismo."; No has podido salir del país porque estás esperando a que el huso horario internacional decida qué día es hoy.; No has podido salir del país porque tu hamaca está demasiado cómoda y has declarado la independencia de tu bungalow.; No has podido salir del país porque un partido de rugby 7 ha estallado en la pista de aterrizaje.
"Francia	";La bestia legendaria Tarasque;El hombre lobo Loup-garou;El animal mítico Dahu;La quimera protectora Gárgola;El espíritu felino Matagot;El tesoro perdido de los Templarios;Las Joyas de la Corona de Francia;El secreto de la catedral de Notre Dame;La sonrisa de la Mona Lisa;El enigma del tapiz de Bayeux;¿Qué río cruza París?; ¿Qué animal vive en los bosques franceses?; ¿Qué cordillera separa Francia de España?; ¿Qué flor es símbolo de Francia?; ¿Qué mar baña el sur de Francia?;Sena; Ciervo; Pirineos; Lirio; Mediterráneo;Amazonas; León; Andes; Rosa; Atlántico;Nilo; Tigre; Alpes; Tulipán; Báltico;Su capital es París; Allí está la Torre Eiffel; Se comen baguettes y croissants; En Cannes hay un festival de cine; Hay un castillo famoso en el río Loira;No has podido salir del país porque los controladores aéreos están en huelga por la calidad de los cruasanes.; No has podido salir del país porque estás atrapado en una rotonda alrededor del Arco del Triunfo desde ayer.; No has podido salir del país porque un mimo te está imitando y no puedes deshacerte de él para llegar al aeropuerto.; No has podido salir del país porque te niegas a irte sin probar los 400 tipos de queso.; No has podido salir del país porque tu boina ha salido volando y ha aterrizado en la cima de la Torre Eiffel.
"Gabón	";La diosa del agua Mami Wata;La criatura del bosque Biloko;El hombre leopardo N'yamala;El murciélago gigante Olitiau;El búfalo con cuernos de reptil Ngoubou;Las máscaras espirituales del pueblo Fang;El Arca de los Ancestros del Parque Nacional de Lopé;El legado del Dr. Schweitzer en Lambaréné;Las estatuas guardianas de Byeri;El corazón verde de la selva ecuatorial;¿Qué animal vive en la selva de Gabón?; ¿Qué río pasa por el país?; ¿Qué árbol grande da sombra en la selva?; ¿Qué ave colorida se ve allí?; ¿Qué mineral se encuentra en Gabón?;Gorila; Ogooué; Baobab; Papagayo; Manganeso;León; Amazonas; Pino; Cuervo; Oro;Tigre; Nilo; Olivo; Águila; Plata;Su capital es Libreville; Tiene selvas llenas de gorilas; Allí crecen árboles gigantes; En sus playas llegan tortugas marinas; Celebran danzas con máscaras coloridas;No has podido salir del país porque una manada de gorilas está debatiendo sobre filosofía en mitad de la carretera.; No has podido salir del país porque estás esperando a que termine la ceremonia de iniciación Bwiti a la que te invitaron.; No has podido salir del país porque los elefantes de bosque han decidido reorganizar el aeropuerto.; No has podido salir del país porque estás surfeando en una ola legendaria que; según dicen
"Gambia	";La serpiente de río Ninki Nanka;El bailarín enmascarado Kankurang;El genio Jinn;El espíritu Bori;El espíritu Zar;Los Círculos de piedras de los gigantes;La Isla de Kunta Kinteh;El río de los secretos;La Reserva de los monos de Abuko;La memoria de los griots;¿Qué río cruza Gambia?; ¿Qué animal vive en sus orillas?; ¿Qué árbol crece cerca del agua?; ¿Qué ave vuela sobre el río?; ¿Qué fruto tropical crece allí?;Gambia; Hipopótamo; Manglar; Garza; Mango;Amazonas; León; Pino; Águila; Manzana;Nilo; Tigre; Olivo; Pato; Pera;Su capital es Banjul; Es un país muy estrecho junto a un río; Allí hay hipopótamos; Se tocan tambores en las fiestas; Sus mercados están llenos de colores;No has podido salir del país porque te has hecho amigo de un cocodrilo en la charca de Kachikally y ahora te sigue a todas partes.;" No has podido salir del país porque estás esperando a que Alex Haley termine de contarte la secuela de ""Raíces""."; No has podido salir del país porque te han retado a un concurso de avistamiento de aves y hay más de 500 especies por encontrar.; No has podido salir del país porque tu barco se ha quedado atrapado en un banco de ostras.;" No has podido salir del país porque el sonriente ""pueblo sonriente"" te ha sonreído tanto que no te puedes negar a quedarte."
"Georgia	";El demonio Devi;La serpiente gigante Gveli;El vidente Natsiliani;El hombre del bosque Ochokochi;El demonio femenino Ali;El Vellocino de Oro de la Cólquida;El tesoro de la Reina Tamar;Los monasterios de Gelati y Bagrati;La cuna del vino;El manuscrito del Caballero en la Piel de Pantera;¿Qué montañas hay en Georgia?; ¿Qué animal vive en sus bosques?; ¿Qué mar baña Georgia?; ¿Qué fruta crece allí?; ¿Qué ave vuela en sus cielos?;Cáucaso; Oso; Negro; Uva; Águila;Alpes; León; Mediterráneo; Manzana; Gallina;Andes; Tigre; Adriático; Pera; Cisne;Su capital es Tiflis; Tienen un alfabeto único con letras redondeadas; Les gusta bailar con trajes largos y espadas; En las montañas del Cáucaso hay nieve; Se dice que el vino nació allí;No has podido salir del país porque te has quedado atrapado en un supra (banquete) y el tamada (maestro de brindis) aún no ha terminado.; No has podido salir del país porque estás intentando robar la receta del khachapuri y es un secreto de estado.; No has podido salir del país porque tu coche ha sido bloqueado por un coro polifónico que ensaya en la calle.; No has podido salir del país porque crees que has encontrado el Vellocino de Oro y estás negociando con el gobierno.; No has podido salir del país porque cada vez que intentas irte
"Ghana	";El dios araña Anansi;El vampiro arbóreo Sasabonsam;El hada del bosque Mmoatia;La criatura con dientes de hierro Asanbosam;El hechicero vampiro Obayifo;El oro del Imperio Ashanti;Los hilos de araña de los textiles Kente;Los castillos de la Costa de los Esclavos;El Taburete de Oro que cayó del cielo;El sueño de Kwame Nkrumah;¿Qué animal grande vive en Ghana?; ¿Qué árbol da cacao en Ghana?; ¿Qué lago grande hay en el país?; ¿Qué ave canta en las mañanas?; ¿Qué mineral se extrae en Ghana?;Elefante; Cacaotero; Volta; Gallo; Oro;León; Pino; Titicaca; Pato; Plata;Tigre; Olivo; Victoria; Águila; Cobre;Su capital es Acra; Sus telas kente tienen muchos colores; Allí juegan mucho al fútbol; En el castillo de Elmina vivieron reyes y esclavos; Celebran danzas con tambores;No has podido salir del país porque te han encargado un ataúd de fantasía con forma de avión y aún no está listo.; No has podido salir del país porque estás atrapado en un atasco de tro-tros con eslóganes filosóficos.; No has podido salir del país porque te estás probando toda la tela kente del mercado de Makola.; No has podido salir del país porque te has unido a un desfile fúnebre con porteadores de féretros bailarines.; No has podido salir del país porque estás buscando el origen del último meme de internet
"Granada	";El espíritu caribeño Jumbee;La bruja de fuego Soucouyant;La diablesa de pies de becerro;El protector del bosque Papa Bois;El espíritu guardián MKO Jumbie;El polvo de oro de la 'Isla de las Especias';El ejército de estatuas submarinas de Molinere;La fortaleza del Fuerte George;El fruto prohibido de la nuez moscada;Las arenas de la playa de Grand Anse;¿Qué fruta da nombre al país?; ¿Qué animal marino se ve en sus playas?; ¿Qué árbol da cocos allí?; ¿Qué ave tropical vive en Granada?; ¿Qué clima tiene Granada?;Granada; Delfín; Cocotero; Loro; Tropical;Manzana; León; Pino; Águila; Polar;Pera; Tigre; Olivo; Cisne; Desértico;Su capital es Saint George’s; Es una isla del Caribe; Se le llama “la isla de las especias” por la nuez moscada; Sus casas son de colores brillantes; Celebran carnavales con música;No has podido salir del país porque has comido demasiada nuez moscada y ahora puedes oler los colores.; No has podido salir del país porque te has perdido en el parque de esculturas submarinas.;" No has podido salir del país porque estás esperando a que termine el carnaval ""Spicemas"" para poder limpiar la pintura de tu cuerpo."; No has podido salir del país porque un mono mona ha robado las especias de tu maleta.; No has podido salir del país porque te has enamorado de una playa de arena negra y le has propuesto matrimonio.
"Grecia	";El hombre toro Minotauro;El gigante de un solo ojo Cíclope;La gorgona petrificante Medusa;La serpiente de múltiples cabezas Hidra de Lerna;El perro guardián del inframundo Cerbero;El Partenón de Atenas;El mecanismo de Anticitera;La máscara de oro de Agamenón;La ciudad perdida de la Atlántida;El Vellocino de Oro;¿Qué mar baña Grecia?; ¿Qué animal marino nada en sus islas?; ¿Qué árbol da aceitunas en Grecia?; ¿Qué monte famoso está en Grecia?; ¿Qué ave vive en sus costas?;Egeo; Delfín; Olivo; Olimpo; Gaviota;Mediterráneo; León; Pino; Everest; Águila;Adriático; Tigre; Roble; Andes; Cuervo;Su capital es Atenas; Allí hay templos como el Partenón; Los antiguos griegos inventaron los Juegos Olímpicos; Sus islas tienen casas blancas y azules; Sus mitos hablan de dioses y héroes;"No has podido salir del país porque estás en un debate filosófico con un señor en una cafetería y aún no habéis definido ""verdad""."; No has podido salir del país porque los dioses del Olimpo han revocado tu permiso de vuelo.; No has podido salir del país porque te has quedado atrapado en un baile de Sirtaki que ha durado tres días.; No has podido salir del país porque cada vez que intentas irte; rompes un plato y tienes que quedarte a la fiesta.
